# Created by: RiboViz
# Date: 2021-09-15 09:31:14
# File: /home/ubuntu/riboviz/rscripts/generate_stats_figs.R
# Version: commit 96118273d79107338bdd63982ed59d03e8489176 date 2021-09-15 16:26:53 GMT
gene	Ct_fr0	Ct_fr1	Ct_fr2	pval_fr0vs1	pval_fr0vs2	pval_fr0vsboth
YAL068C	0	0	0	1	1	1
YAL067W-A	0	0	0	1	1	1
YAL067C	1	0	0	0.5	0.5	0.5
YAL065C	0	0	0	1	1	1
YAL064W-B	0	0	0	1	1	1
YAL064C-A	0	0	0	1	1	1
YAL064W	0	0	0	1	1	1
YAL063C-A	0	0	0	1	1	1
YAL063C	0	0	0	1	1	1
YAL062W	0	0	0	1	1	1
YAL061W	0	0	0	1	1	1
YAL060W	16	3	5	0.00245724291461145	0.0124494259082519	0.000175236537687321
YAL059W	5	0	1	0.0184442128535249	0.064715337218953	0.00541787667264586
YAL058W	3	1	2	0.211855398583397	0.382797241997882	0.218725748972901
YAL056W	4	2	2	0.211855398583397	0.242009177352391	0.144445617327045
YAL055W	2	1	0	0.386414996342224	0.17288929307558	0.191934191495911
YAL054C	0	0	0	1	1	1
YAL053W	23	3	4	4.70602898708746e-05	0.000220766927657141	7.76493326556981e-08
YAL051W	7	0	2	0.0131341456910211	0.0760463162407899	0.00488235630033542
YAL049C	1	0	0	0.5	0.5	0.5
YAL048C	3	0	2	0.0744573365893828	0.382797241997882	0.109079314788356
YAL047C	2	0	0	0.17288929307558	0.17288929307558	0.0912112197258678
YAL046C	9	0	0	0.00167671822747316	0.00167671822747316	1.67432923125778e-05
YAL044W-A	9	0	2	0.00416707228890869	0.0296487799609829	0.000689296304628316
YAL044C	100	14	29	9.45408508961671e-10	8.62961172666633e-07	1.17639210596832e-14
YAL043C	10	1	2	0.00386834240459527	0.0183315046597912	0.000388626927639846
YAL042W	34	4	5	2.17532298972879e-05	4.88497201054565e-05	8.22440559834183e-09
YAL041W	19	4	3	0.00233230527394947	0.00147470219269615	2.04056659168353e-05
YAL040C	1	0	0	0.5	0.5	0.5
YAL039C	17	1	0	0.000321779922594188	9.20799955167058e-05	2.12407482471421e-07
YAL038W	1443	309	226	1.66093680825532e-41	5.24379428209998e-40	2.10728632512679e-79
YAL037C-A	0	0	0	1	1	1
YAL037W	0	0	0	1	1	1
YAL036C	35	5	6	1.44521158358907e-05	5.3456839537972e-06	6.38560033469247e-10
YAL035W	76	14	23	7.30014840575102e-10	1.09473024886875e-06	1.21722874549319e-14
YAL034W-A	5	1	0	0.0359303191129258	0.0184442128535249	0.00299323286727293
YAL034C	1	1	0	0.681324055883031	0.5	0.630558659818236
YAL033W	5	0	1	0.0184442128535249	0.064715337218953	0.00541787667264586
YAL032C	8	0	1	0.0131341456910211	0.0353799074015287	0.00219214432329629
YAL031C	3	0	1	0.0744573365893828	0.211855398583397	0.0563349388208244
YAL030W	10	0	2	0.00961101286843366	0.032799846073536	0.00155140128387603
YAL029C	6	2	1	0.0908324803700517	0.0363004697249787	0.0134166135023609
YAL028W	0	0	2	1	0.97032678060404	1
YAL027W	1	0	0	0.5	0.5	0.5
YAL026C	16	4	0	0.0118904989273519	0.0008572738435361	6.78760038534458e-05
YAL025C	7	1	0	0.0353799074015287	0.0131341456910211	0.00219214432329629
YAL024C	1	0	1	0.5	0.681324055883031	0.630558659818236
YAL023C	32	7	4	3.29899986167218e-05	8.18287738327183e-06	2.19430376355906e-09
YAL022C	11	5	5	0.119392287613619	0.106022614885662	0.0431327491396121
YAL021C	18	2	4	0.000187976538178496	0.00150717455094989	1.99182191612959e-06
YAL020C	3	0	1	0.0744573365893828	0.211855398583397	0.0563349388208244
YAL019W	9	2	2	0.0196836203117476	0.0196836203117476	0.00178561816742238
YAL018C	0	0	0	1	1	1
YAL017W	5	2	1	0.149308837224405	0.064715337218953	0.0353663030069879
YAL016W	93	13	16	2.38872064134065e-12	1.36643135771923e-10	4.31374436589305e-21
YAL015C	3	1	2	0.211855398583397	0.382797241997882	0.218725748972901
YAL014C	7	0	0	0.0131341456910211	0.0131341456910211	0.000836995684312295
YAL013W	13	2	2	0.00657729441793908	0.00657729441793908	0.000226916305929178
YAL012W	125	14	13	2.30218834387409e-13	5.63508306609458e-12	1.74327854141274e-23
YAL011W	2	1	0	0.386414996342224	0.17288929307558	0.191934191495911
YAL010C	1	1	2	0.681324055883031	0.806761884614384	0.827850660402982
YAL009W	0	1	0	0.977249868051821	1	1
YAL008W	5	0	2	0.0184442128535249	0.149308837224405	0.0135283789113261
YAL007C	4	1	1	0.172352111003479	0.172352111003479	0.0907246038607102
YAL005C	1145	238	267	2.12845330747423e-46	2.07642777550075e-34	3.05190822129783e-78
YAL003W	165	24	48	1.56443915799849e-13	1.13947276741398e-09	3.29928230525956e-21
YAL002W	1	0	2	0.5	0.806761884614384	0.72985431269629
YAL001C	0	5	1	0.991463669453106	0.977249868051821	0.999034882016973
