# Created by: RiboViz
# Date: 2021-09-15 09:31:14
# File: /home/ubuntu/riboviz/rscripts/generate_stats_figs.R
# Version: commit 96118273d79107338bdd63982ed59d03e8489176 date 2021-09-15 16:26:53 GMT
gene	Ct_fr0	Ct_fr1	Ct_fr2	pval_fr0vs1	pval_fr0vs2	pval_fr0vsboth
YAL044C	100	14	29	9.45408508961671e-10	8.62961172666633e-07	1.17639210596832e-14
YAL038W	1443	309	226	1.66093680825532e-41	5.24379428209998e-40	2.10728632512679e-79
YAL035W	76	14	23	7.30014840575102e-10	1.09473024886875e-06	1.21722874549319e-14
YAL016W	93	13	16	2.38872064134065e-12	1.36643135771923e-10	4.31374436589305e-21
YAL012W	125	14	13	2.30218834387409e-13	5.63508306609458e-12	1.74327854141274e-23
YAL005C	1145	238	267	2.12845330747423e-46	2.07642777550075e-34	3.05190822129783e-78
YAL003W	165	24	48	1.56443915799849e-13	1.13947276741398e-09	3.29928230525956e-21
