# Created by: RiboViz
# Date: 2021-09-15 09:30:42
# File: /home/ubuntu/riboviz/rscripts/generate_stats_figs.R
# Version: commit 96118273d79107338bdd63982ed59d03e8489176 date 2021-09-15 16:26:53 GMT
Pos	Counts	End
-24	0	5'
-23	0	5'
-22	0	5'
-21	0	5'
-20	0	5'
-19	0	5'
-18	0	5'
-17	0	5'
-16	0	5'
-15	0	5'
-14	1	5'
-13	1	5'
-12	4	5'
-11	23	5'
-10	1	5'
-9	1	5'
-8	9	5'
-7	0	5'
-6	5	5'
-5	7	5'
-4	6	5'
-3	2	5'
-2	11	5'
-1	3	5'
0	6	5'
1	13	5'
2	1	5'
3	0	5'
4	4	5'
5	2	5'
6	6	5'
7	6	5'
8	2	5'
9	0	5'
10	4	5'
11	2	5'
12	1	5'
13	0	5'
14	2	5'
15	3	5'
16	4	5'
17	0	5'
18	2	5'
19	13	5'
20	2	5'
21	2	5'
22	11	5'
23	2	5'
24	1	5'
25	5	5'
26	1	5'
27	3	5'
28	4	5'
29	1	5'
30	6	5'
31	2	5'
32	0	5'
33	1	5'
34	12	5'
35	4	5'
36	4	5'
37	10	5'
38	1	5'
39	1	5'
40	7	5'
41	7	5'
42	3	5'
43	3	5'
44	3	5'
45	6	5'
46	2	5'
47	3	5'
48	1	5'
49	4	5'
50	4	5'
-49	4	3'
-48	1	3'
-47	39	3'
-46	8	3'
-45	0	3'
-44	15	3'
-43	2	3'
-42	0	3'
-41	1	3'
-40	3	3'
-39	0	3'
-38	8	3'
-37	1	3'
-36	1	3'
-35	5	3'
-34	3	3'
-33	0	3'
-32	3	3'
-31	4	3'
-30	3	3'
-29	5	3'
-28	3	3'
-27	2	3'
-26	15	3'
-25	3	3'
-24	1	3'
-23	6	3'
-22	1	3'
-21	1	3'
-20	7	3'
-19	3	3'
-18	7	3'
-17	13	3'
-16	11	3'
-15	0	3'
-14	2	3'
-13	1	3'
-12	0	3'
-11	1	3'
-10	1	3'
-9	1	3'
-8	0	3'
-7	1	3'
-6	1	3'
-5	0	3'
-4	0	3'
-3	1	3'
-2	0	3'
-1	0	3'
0	0	3'
1	0	3'
2	1	3'
3	0	3'
4	0	3'
5	0	3'
6	0	3'
7	0	3'
8	1	3'
9	0	3'
10	3	3'
11	0	3'
12	0	3'
13	0	3'
14	0	3'
15	0	3'
16	0	3'
17	0	3'
18	0	3'
19	0	3'
20	0	3'
21	0	3'
22	0	3'
23	0	3'
24	0	3'
25	0	3'
