# Created by: RiboViz
# Date: 2021-09-15 09:31:08
# File: /home/ubuntu/riboviz/rscripts/generate_stats_figs.R
# Version: commit 96118273d79107338bdd63982ed59d03e8489176 date 2021-09-15 16:26:53 GMT
gene	Ct_fr0	Ct_fr1	Ct_fr2	pval_fr0vs1	pval_fr0vs2	pval_fr0vsboth
YAL038W	3064	702	517	5.64761003872945e-49	3.26558497322482e-44	5.43718164609997e-91
YAL035W	124	29	38	4.17797617140244e-12	9.50060092143939e-10	5.52223805445161e-20
YAL023C	80	10	11	5.94828690384085e-12	5.46356016002755e-11	4.04170263838078e-21
YAL016W	48	11	17	6.18297096426328e-06	0.000212060508990987	1.18163469180252e-08
YAL012W	242	28	46	5.04523236274668e-21	4.35085981528544e-16	5.20139281851419e-35
YAL005C	2151	485	632	8.29446484995196e-50	9.61633191843605e-36	7.81247593817404e-83
YAL003W	638	96	157	3.64977663485046e-18	6.5741493395406e-13	6.02550406976485e-29
