# Created by: RiboViz
# Date: 2021-09-15 09:31:08
# File: /home/ubuntu/riboviz/rscripts/generate_stats_figs.R
# Version: commit 96118273d79107338bdd63982ed59d03e8489176 date 2021-09-15 16:26:53 GMT
gene	Ct_fr0	Ct_fr1	Ct_fr2	pval_fr0vs1	pval_fr0vs2	pval_fr0vsboth
YAL068C	0	0	0	1	1	1
YAL067W-A	0	0	0	1	1	1
YAL067C	0	0	0	1	1	1
YAL065C	0	0	0	1	1	1
YAL064W-B	0	0	0	1	1	1
YAL064C-A	0	0	0	1	1	1
YAL064W	0	0	0	1	1	1
YAL063C-A	0	0	0	1	1	1
YAL063C	0	0	0	1	1	1
YAL062W	1	0	0	0.5	0.5	0.5
YAL061W	1	3	0	0.884930329778292	0.5	0.801928045423963
YAL060W	24	0	6	1.36780440436171e-06	0.000762748302631564	1.36815918406749e-08
YAL059W	8	0	3	0.0073543847215586	0.0915483708095897	0.00383428539018894
YAL058W	2	1	2	0.386414996342224	0.579259709439103	0.475001588234794
YAL056W	1	0	0	0.5	0.5	0.5
YAL055W	2	0	0	0.17288929307558	0.17288929307558	0.0912112197258678
YAL054C	0	0	0	1	1	1
YAL053W	24	5	2	0.000497358364968698	3.25801485682123e-05	1.29208197846581e-07
YAL051W	5	3	3	0.264825335026671	0.293873176184477	0.20390027517352
YAL049C	8	3	6	0.0915483708095897	0.337257145505104	0.107799756157873
YAL048C	1	0	1	0.5	0.681324055883031	0.630558659818236
YAL047C	2	0	0	0.17288929307558	0.17288929307558	0.0912112197258678
YAL046C	3	0	0	0.0744573365893828	0.0744573365893828	0.0206134166685819
YAL044W-A	6	3	1	0.175323944852229	0.0363004697249787	0.0268370625235798
YAL044C	30	3	4	1.61891995458065e-05	2.56872833560951e-05	3.27537646971118e-09
YAL043C	11	1	2	0.00751730023251553	0.0165031288306163	0.000625655823499192
YAL042W	34	5	5	1.31092043518087e-05	1.31092043518087e-05	1.37873828534733e-09
YAL041W	7	2	0	0.0760463162407899	0.0131341456910211	0.00488235630033542
YAL040C	2	0	0	0.17288929307558	0.17288929307558	0.0912112197258678
YAL039C	8	2	1	0.0476677126424996	0.0209152972826223	0.00441600972773488
YAL038W	3064	702	517	5.64761003872945e-49	3.26558497322482e-44	5.43718164609997e-91
YAL037C-A	0	0	0	1	1	1
YAL037W	0	0	0	1	1	1
YAL036C	31	10	11	0.00350822040355451	0.00395635655635008	7.70651198604965e-05
YAL035W	124	29	38	4.17797617140244e-12	9.50060092143939e-10	5.52223805445161e-20
YAL034W-A	1	1	1	0.681324055883031	0.681324055883031	0.747507462453077
YAL034C	0	0	0	1	1	1
YAL033W	6	0	0	0.00982807862508494	0.00982807862508494	0.000484900062811464
YAL032C	2	1	0	0.386414996342224	0.17288929307558	0.191934191495911
YAL031C	3	0	0	0.0744573365893828	0.0744573365893828	0.0206134166685819
YAL030W	3	1	0	0.211855398583397	0.0744573365893828	0.0563349388208244
YAL029C	7	1	3	0.0353799074015287	0.137735358496716	0.0202364953858826
YAL028W	0	0	0	1	1	1
YAL027W	0	1	0	0.977249868051821	1	1
YAL026C	8	1	3	0.0209152972826223	0.0915483708095897	0.00864546548955338
YAL025C	13	0	5	0.00018128418874733	0.0313856957866247	6.2201631177299e-05
YAL024C	1	0	0	0.5	0.5	0.5
YAL023C	80	10	11	5.94828690384085e-12	5.46356016002755e-11	4.04170263838078e-21
YAL022C	16	3	2	0.00366738932519233	0.00159560007340759	3.43171430984183e-05
YAL021C	41	3	2	4.66613478681931e-07	2.93520341259292e-07	1.27235746412058e-12
YAL020C	2	0	0	0.17288929307558	0.17288929307558	0.0912112197258678
YAL019W	14	1	4	0.000909440900914046	0.0135608666049443	8.24389958888845e-05
YAL018C	0	0	0	1	1	1
YAL017W	4	0	2	0.0359303191129258	0.242009177352391	0.0385585571293966
YAL016W	48	11	17	6.18297096426328e-06	0.000212060508990987	1.18163469180252e-08
YAL015C	6	3	0	0.187031398745441	0.00982807862508494	0.0113599658800863
YAL014C	0	1	1	0.977249868051821	0.977249868051821	0.997661132509476
YAL013W	7	1	0	0.020538451453244	0.0053667080514986	0.000580162038402535
YAL012W	242	28	46	5.04523236274668e-21	4.35085981528544e-16	5.20139281851419e-35
YAL011W	1	0	0	0.5	0.5	0.5
YAL010C	2	0	2	0.17288929307558	0.579259709439103	0.299706335160119
YAL009W	2	0	1	0.17288929307558	0.386414996342224	0.191934191495911
YAL008W	3	0	1	0.0744573365893828	0.211855398583397	0.0563349388208244
YAL007C	20	2	3	0.000256718955547365	0.00157732888865659	2.76250943456146e-06
YAL005C	2151	485	632	8.29446484995196e-50	9.61633191843605e-36	7.81247593817404e-83
YAL003W	638	96	157	3.64977663485046e-18	6.5741493395406e-13	6.02550406976485e-29
YAL002W	4	0	2	0.0867840832779608	0.285803822476666	0.0865594298317627
YAL001C	0	0	1	1	0.977249868051821	1
