# Created by: RiboViz
# Date: 2021-09-15 09:30:38
# File: /home/ubuntu/riboviz/rscripts/generate_stats_figs.R
# Version: commit 96118273d79107338bdd63982ed59d03e8489176 date 2021-09-15 16:26:53 GMT
Pos	Counts	End
-24	0	5'
-23	0	5'
-22	0	5'
-21	0	5'
-20	0	5'
-19	0	5'
-18	0	5'
-17	0	5'
-16	0	5'
-15	0	5'
-14	0	5'
-13	0	5'
-12	0	5'
-11	11	5'
-10	1	5'
-9	3	5'
-8	5	5'
-7	4	5'
-6	0	5'
-5	2	5'
-4	0	5'
-3	0	5'
-2	4	5'
-1	0	5'
0	1	5'
1	4	5'
2	2	5'
3	0	5'
4	1	5'
5	0	5'
6	4	5'
7	4	5'
8	0	5'
9	0	5'
10	1	5'
11	0	5'
12	0	5'
13	1	5'
14	1	5'
15	0	5'
16	3	5'
17	1	5'
18	2	5'
19	14	5'
20	1	5'
21	0	5'
22	4	5'
23	1	5'
24	0	5'
25	6	5'
26	1	5'
27	0	5'
28	3	5'
29	0	5'
30	0	5'
31	1	5'
32	0	5'
33	0	5'
34	7	5'
35	1	5'
36	0	5'
37	2	5'
38	0	5'
39	0	5'
40	4	5'
41	1	5'
42	0	5'
43	2	5'
44	2	5'
45	3	5'
46	3	5'
47	2	5'
48	1	5'
49	4	5'
50	0	5'
-49	8	3'
-48	0	3'
-47	25	3'
-46	4	3'
-45	2	3'
-44	3	3'
-43	2	3'
-42	2	3'
-41	6	3'
-40	4	3'
-39	4	3'
-38	18	3'
-37	10	3'
-36	1	3'
-35	10	3'
-34	7	3'
-33	10	3'
-32	18	3'
-31	3	3'
-30	4	3'
-29	11	3'
-28	4	3'
-27	0	3'
-26	4	3'
-25	5	3'
-24	1	3'
-23	28	3'
-22	7	3'
-21	5	3'
-20	11	3'
-19	6	3'
-18	1	3'
-17	10	3'
-16	7	3'
-15	0	3'
-14	1	3'
-13	0	3'
-12	0	3'
-11	0	3'
-10	0	3'
-9	0	3'
-8	0	3'
-7	0	3'
-6	1	3'
-5	0	3'
-4	0	3'
-3	0	3'
-2	0	3'
-1	0	3'
0	0	3'
1	0	3'
2	0	3'
3	0	3'
4	0	3'
5	0	3'
6	0	3'
7	0	3'
8	0	3'
9	0	3'
10	0	3'
11	0	3'
12	0	3'
13	0	3'
14	0	3'
15	0	3'
16	0	3'
17	0	3'
18	0	3'
19	0	3'
20	0	3'
21	0	3'
22	0	3'
23	0	3'
24	0	3'
25	0	3'
